State,EV,EV,Total Vote,B,K,Margin,%Margin,Bush,Kerry,Other,Bush,Kerry,Other
North Dakota,3,0,"312,833",1,2,"85,599",27.36%, 62.86%, 35.50%, 1.64%,"196,651","111,052"," 5,130"
Ohio,20,0,"5,627,908",1,2,"118,601",2.11%, 50.81%, 48.71%, 0.48%,"2,859,768","2,741,167"," 26,973"
Oklahoma,7,0,"1,463,758",1,2,"455,826",31.14%, 65.57%, 34.43%, 0.00%,"959,792","503,966", 0
Oregon,0,7,"1,836,782",2,1,"76,332",4.16%, 47.19%, 51.35%, 1.46%,"866,831","943,163"," 26,788"
Pennsylvania,0,21,"5,769,590",2,1,"144,248",2.50%, 48.42%, 50.92%, 0.65%,"2,793,847","2,938,095"," 37,648"
Rhode Island,0,4,"437,134",2,1,"90,714",20.75%, 38.67%, 59.42%, 1.91%,"169,046","259,760"," 8,328"
South Carolina,8,0,"1,617,730",1,2,"276,275",17.08%, 57.98%, 40.90%, 1.12%,"937,974","661,699"," 18,057"
South Dakota,3,0,"388,215",1,2,"83,340",21.47%, 59.91%, 38.44%, 1.65%,"232,584","149,244"," 6,387"
Tennessee,11,0,"2,434,949",1,2,"348,176",14.30%, 56.81%, 42.51%, 0.68%,"1,383,336","1,035,160"," 16,453"
Texas,34,0,"7,410,765",1,2,"1,694,213",22.86%, 61.09%, 38.22%, 0.69%,"4,526,917","2,832,704"," 51,144"
Utah,5,0,"927,844",1,2,"422,543",45.54%, 71.54%, 26.00%, 2.47%,"663,742","241,199"," 22,903"
Vermont,0,3,"312,309",2,1,"62,887",20.14%, 38.80%, 58.94%, 2.26%,"121,180","184,067"," 7,062"
Virginia,13,0,"3,198,367",1,2,"262,217",8.20%, 53.68%, 45.48%, 0.83%,"1,716,959","1,454,742"," 26,666"
Washington,0,11,"2,861,713",2,1,"205,307",7.17%, 45.60%, 52.77%, 1.63%,"1,304,894","1,510,201"," 46,618"
West Virginia,5,0,"755,887",1,2,"97,237",12.86%, 56.06%, 43.20%, 0.74%,"423,778","326,541"," 5,568"
Wisconsin,0,10,"2,997,007",2,1,"11,384",0.38%, 49.32%, 49.70%, 0.98%,"1,478,120","1,489,504"," 29,383"
Wyoming,3,0,"243,428",1,2,"96,853",39.79%, 68.86%, 29.07%, 2.06%,"167,629","70,776"," 5,023"
Total,286,251,"122,303,590",1,2,"3,012,457",2.46%, 50.73%, 48.26%, 1.01%,"62,039,572","59,027,115"," 1,236,903"
