State,EV,EV,Total Vote,G,B,N,Margin,%Margin,Gore,Bush,Nader,Other,Gore,Bush,Nader,Other
Pennsylvania,0,23,"4,913,119",1,2,3,"204,840",4.17%, 50.60%, 46.43%, 2.10%, 0.87%,"2,485,967","2,281,127","103,392"," 42,633"
Rhode Island,0,4,"409,112",1,2,3,"118,953",29.08%, 60.99%, 31.91%, 6.12%, 0.98%,"249,508","130,555","25,052"," 3,997"
South Carolina,8,0,"1,383,777",2,1,3,"220,387",15.93%, 40.91%, 56.83%, 1.47%, 0.80%,"566,039","786,426","20,279"," 11,033"
South Dakota,3,0,"316,269",2,1,0,"71,896",22.73%, 37.56%, 60.30%, 0.00%, 2.14%,"118,804","190,700",0," 6,765"
Tennessee,11,0,"2,076,181",2,1,3,"80,229",3.86%, 47.28%, 51.15%, 0.95%, 0.61%,"981,720","1,061,949","19,781"," 12,731"
Texas,32,0,"6,407,637",2,1,3,"1,365,893",21.32%, 37.98%, 59.30%, 2.15%, 0.57%,"2,433,746","3,799,639","137,994"," 36,258"
Utah,5,0,"770,754",2,1,3,"312,043",40.49%, 26.34%, 66.83%, 4.65%, 2.17%,"203,053","515,096","35,850"," 16,755"
Vermont,0,3,"294,308",1,2,3,"29,247",9.94%, 50.63%, 40.70%, 6.92%, 1.75%,"149,022","119,775","20,374"," 5,137"
Virginia,13,0,"2,739,447",2,1,3,"220,200",8.04%, 44.44%, 52.47%, 2.17%, 0.92%,"1,217,290","1,437,490","59,398"," 25,269"
Washington,0,11,"2,488,745",1,2,3,"138,788",5.58%, 50.13%, 44.56%, 4.14%, 1.17%,"1,247,652","1,108,864","103,002"," 29,227"
West Virginia,5,0,"648,124",2,1,3,"40,978",6.32%, 45.59%, 51.92%, 1.65%, 0.84%,"295,497","336,475","10,680"," 5,472"
Wisconsin,0,11,"2,598,607",1,2,3,"5,708",0.22%, 47.83%, 47.61%, 3.62%, 0.93%,"1,242,987","1,237,279","94,070"," 24,271"
Wyoming,3,0,"218,351",2,1,3,"87,466",40.06%, 27.70%, 67.76%, 2.12%, 2.43%,"60,481","147,947","4,625"," 5,298"
Total,271,266,"105,425,985",1,2,3,"547,398",0.52%, 48.38%, 47.87%, 2.74%, 1.02%,"51,009,810","50,462,412","2,883,443"," 1,070,320"
